14.9159	17.7794	6.95683	2.50866	2.44152	0.0425976	0.0100644	27.7651	-6.84E-06	5.00772	6.87E-05
14.6988	17.5104	6.26817	3.20787	-3.18216	-0.0555093	0.00707666	33.1178	-6.23E-05	3.42279	8.72E-05
15.0744	17.9023	6.44164	1.70419	-1.66509	-0.0290566	0.00633573	33.4392	-2.84E-05	3.06293	-2.40E-05
14.6208	17.4176	7.47395	1.54224	1.48974	0.0259973	0.00696401	29.7273	7.56E-05	4.26372	0.000144156
15.2319	18.0599	4.72418	3.47972	-3.40508	-0.0593903	-0.0125182	33.3132	-0.000103772	-4.7357	8.77E-05
15.0164	17.8167	6.45994	0.786338	-0.0941255	-0.00164265	-0.0136251	32.3305	1.65E-05	-6.2124	-5.42E-06
14.831	17.5903	6.14135	2.8994	-2.79212	-0.0487078	-0.0136432	33.6622	-4.16E-05	-6.55832	-9.44E-05
15.2186	17.9837	6.05184	1.18009	1.16864	0.0203951	-0.00286253	31.0287	0.000123423	-1.53072	-7.27E-05
15.4958	18.3083	6.21116	1.88195	-1.58874	-0.0277209	-0.0176079	32.9236	-0.000101708	-6.17807	-0.000113538
14.6796	17.4271	6.70472	1.16235	-1.13401	-0.0197907	-0.00445231	33.2786	0.000129169	-2.50303	-9.19E-05
15.2341	17.9318	5.28216	3.94145	-3.76471	-0.0656457	-0.020382	33.0676	-3.12E-05	-8.21655	-9.09E-05
14.8042	17.5167	6.87448	0.307753	-0.257964	-0.00450228	-0.00292916	32.5483	1.25E-06	-1.44808	-8.48E-05
14.7477	17.5848	7.18006	3.2954	3.2954	0.0574838	5.27E-05	25.832	1.49E-05	0.0296579	-7.25E-05
14.3927	17.3163	6.42344	4.84757	4.83709	0.0843217	0.00556674	22.1186	9.27E-05	3.48639	3.66E-05
15.2821	18.1424	4.99202	3.78876	-3.78662	-0.0660407	-0.00222448	32.0985	-0.000116345	-0.597841	6.12E-05
14.9306	17.7227	7.07738	0.249622	0.0731696	0.00127704	-0.00416535	32.1141	4.84E-06	-2.1669	-2.62E-05
14.9145	17.6766	6.27162	2.17623	-2.16124	-0.0377115	-0.00445074	33.6851	3.91E-05	-2.18838	8.17E-06
13.9098	16.7269	7.12692	1.35998	-1.35853	-0.0237086	-0.00109507	33.3577	2.82E-05	-0.726403	-8.40E-05
